artist,grammy_wins,grammy_noms,metacritic,rolling_stone,grammy_signal,acclaim_score
Enya,4,7,68,1,15,0.40740171990171986
Animal Collective,0,0,0,0,0,0.0
The New Pornographers,0,0,0,0,0,0.0
Elliott Smith,0,1,85,2,1,0.4654176904176905
Mogwai,0,0,0,0,0,0.0
Radiohead,3,19,88,8,25,0.8013513513513513
Soundgarden,2,5,82,3,9,0.5217137592137593
Infected Mushroom,0,0,0,0,0,0.0
Thrice,0,0,0,0,0,0.0
Gorillaz,1,4,82,3,6,0.5095515970515971
The Black Keys,8,12,80,2,28,0.5521498771498772
Primus,0,0,0,0,0,0.0
Modest Mouse,0,2,84,2,2,0.46492628992629
Rammstein,0,1,76,1,1,0.3870085995085995
Cat Power,0,0,0,0,0,0.0
Beastie Boys,3,7,85,5,13,0.6265663390663392
Broken Social Scene,0,0,0,0,0,0.0
Thievery Corporation,0,0,0,0,0,0.0
Metallica,9,23,80,6,41,0.7548525798525798
Enigma,0,0,0,0,0,0.0
The Smiths,0,0,87,5,0,0.5829545454545455
Cake,0,0,0,0,0,0.0
The Mars Volta,0,0,0,0,0,0.0
Massive Attack,0,2,88,3,2,0.5206081081081082
As I Lay Dying,0,0,0,0,0,0.0
Amon Amarth,0,0,0,0,0,0.0
Rise Against,0,0,0,0,0,0.0
PJ Harvey,0,3,85,3,3,0.5110257985257985
In Flames,0,0,0,0,0,0.0
Shpongle,0,0,0,0,0,0.0
Blur,0,0,82,3,0,0.48522727272727273
Coldplay,7,21,74,3,35,0.5907555282555284
Air,0,1,85,2,1,0.4654176904176905
Soilwork,0,0,0,0,0,0.0
Faith No More,0,0,0,0,0,0.0
NOFX,0,0,0,0,0,0.0
Amon Tobin,0,0,0,0,0,0.0
Beirut,0,0,0,0,0,0.0
M83,0,1,84,1,1,0.4233722358722359
Daft Punk,6,12,88,4,24,0.6472972972972973
The Hives,0,0,0,0,0,0.0
At the Drive-In,0,0,0,0,0,0.0
Sigur Rós,0,0,85,2,0,0.4613636363636364
Jimmy Eat World,0,0,0,0,0,0.0
Nine Inch Nails,2,13,84,4,17,0.6007371007371007
Ratatat,0,0,0,0,0,0.0
Caribou,0,0,0,0,0,0.0
Wilco,2,6,85,3,10,0.5394041769041769
Anberlin,0,0,0,0,0,0.0
Mazzy Star,0,0,0,0,0,0.0
Arctic Monkeys,0,7,82,3,7,0.513605651105651
Weezer,0,2,80,3,2,0.48424447174447177
