track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRRIVDJ128F429B0E8,Wonderwall,Oasis,https://p.scdn.co/mp3-preview/d012e536916c927bd6c8ced0dae75ee3b7715983?cid=774b29d4f13844c495f206cafdad9c86,06UfBBDISthj1ZJAtX4xjj,"rock, alternative, indie, pop, alternative_rock, british, 90s, love, britpop",,2006,258613,0.409,0.892,2,-4.373,1,0.0336,0.000807,0.0,0.207,0.651,174.426,4
TRIODZU128E078F3E2,Under the Bridge,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=774b29d4f13844c495f206cafdad9c86,06zh28PcYIFvNOAz5Wq2Xb,"rock, alternative, alternative_rock, 90s, funk",Pop,2003,265506,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275,4
TRIQWYH128F1486062,Paranoid Android,Radiohead,https://p.scdn.co/mp3-preview/d68bd7fa4f0bd86ec2ebbd7ac73c2716a00a3486?cid=774b29d4f13844c495f206cafdad9c86,0bomiLGPTUNyk3mV19pbwN,"rock, electronic, alternative, indie, alternative_rock, experimental, indie_rock, progressive_rock, british, 90s, britpop",Jazz,2012,384933,0.232,0.8,5,-6.863,1,0.0573,0.0523,0.00606,0.118,0.299,81.849,4
TRAGABG12903CEC68B,No Surprises,Radiohead,https://p.scdn.co/mp3-preview/de1369604de29117d80cfe277054c5d0d11ef732?cid=774b29d4f13844c495f206cafdad9c86,0ijMYjXk5iRZp2VsiC8MC8,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, beautiful, britpop, mellow",,2008,229120,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4
TRUOEWJ128F9345A85,Stairway to Heaven,Led Zeppelin,https://p.scdn.co/mp3-preview/6879ce58805099f68ee59fe687dd5d7aa6e1585c?cid=774b29d4f13844c495f206cafdad9c86,03hLW9osM6UuNqlpwL8XPo,"rock, classic_rock, hard_rock, progressive_rock, 70s",Punk,2013,488019,0.354,0.361,9,-12.722,0,0.0509,0.625,0.0112,0.35,0.212,80.36,4
TRCPUIV128E079280D,Paint It Black,The Rolling Stones,https://p.scdn.co/mp3-preview/b3ee20e3dbbee530ec004f84031da026beebb300?cid=774b29d4f13844c495f206cafdad9c86,0hBZCHzVNvboVLWS7aNKRO,"rock, classic_rock, british, 60s",,1971,202106,0.456,0.793,11,-9.17,0,0.098,0.0486,0.00205,0.376,0.615,158.787,4
TRIWYMW128F145E0F9,All These Things That I've Done,The Killers,https://p.scdn.co/mp3-preview/3678a4052d850a79de958169e147183492b5c479?cid=774b29d4f13844c495f206cafdad9c86,07ygRsnqBqNFfdpmH3BeOV,"rock, alternative, indie, alternative_rock, indie_rock, 00s",,2013,303213,0.548,0.751,6,-5.077,1,0.0418,0.00219,1.9e-05,0.142,0.219,118.267,4
TRNNGMK128F423F034,Where Is My Mind?,Pixies,https://p.scdn.co/mp3-preview/d4a375a9c19d4ea8083658b58402926d6990499b?cid=774b29d4f13844c495f206cafdad9c86,0DJU6KGwdkxEPCy3BZ3UZY,"rock, alternative, indie, alternative_rock, indie_rock, 80s, soundtrack",Rock,2005,230093,0.514,0.435,4,-13.517,1,0.0353,0.0078,0.000859,0.0802,0.212,82.104,4
TRAALAH128E078234A,Bitter Sweet Symphony,The Verve,https://p.scdn.co/mp3-preview/3debe861147de110f5e72e6badd5aaa63247f2d4?cid=774b29d4f13844c495f206cafdad9c86,0jLnevC3Vn34qVWrAa4X6x,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, soundtrack, 90s, beautiful, britpop",,1999,358333,0.383,0.907,9,-5.409,1,0.0405,0.0313,0.0,0.347,0.514,171.052,4
TRQFICK128F92F5190,Toxicity,System of a Down,https://p.scdn.co/mp3-preview/89e93c71655e81579d011e4521f7b6e9db173834?cid=774b29d4f13844c495f206cafdad9c86,0snQkGI5qnAmohLE7jTsTn,"rock, alternative, metal, alternative_rock, hard_rock, nu_metal",,2001,218933,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
TRPFYYL128F92F7144,Float On,Modest Mouse,https://p.scdn.co/mp3-preview/0d741d740ea0e449057d326439a47e974447e86d?cid=774b29d4f13844c495f206cafdad9c86,1Urf1M52P3R6NYdAOJizoW,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, 00s",Rock,2004,208466,0.646,0.893,6,-4.799,1,0.0301,0.0151,3.59e-06,0.0892,0.559,100.951,4
TRLPNCR128F4262D8E,Can't Stop,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/076f7d75404dfd18964d60da63d1855b192f3e62?cid=774b29d4f13844c495f206cafdad9c86,3ZOEytgrvLwQaqXreDs2Jx,"rock, alternative, alternative_rock, funk",Electronic,2002,269000,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4
TRFWGOJ128E0780C8B,In My Place,Coldplay,https://p.scdn.co/mp3-preview/e152576c5affbc6d08bb5b67ff0f4d18e29914ce?cid=774b29d4f13844c495f206cafdad9c86,0M1MFIuPCxRitJ4lF7q3tx,"rock, alternative, indie, pop, alternative_rock, indie_rock, british, chillout, 00s, britpop, mellow",Rock,2012,228346,0.423,0.566,9,-6.55,1,0.0272,0.0526,3.66e-06,0.196,0.218,144.688,4
TRCRCBT128F4260DD1,Such Great Heights,The Postal Service,https://p.scdn.co/mp3-preview/0185e782194fa2fecba88d96ad9afb4fff8d6406?cid=774b29d4f13844c495f206cafdad9c86,0cs7BfenkAuxTVJv96KMme,"rock, electronic, alternative, indie, pop, indie_rock, indie_pop, love",,2003,267466,0.649,0.814,5,-8.447,1,0.0469,0.00918,0.23,0.0672,0.199,174.979,4
TRSCMBY128F9311188,Mardy Bum,Arctic Monkeys,https://p.scdn.co/mp3-preview/4964cbac745e7e8ef3968b684ba291e8c756c579?cid=774b29d4f13844c495f206cafdad9c86,0gNQKJ5uTPeuxF2iVJAUAc,"rock, alternative, indie, alternative_rock, indie_rock, british, 00s, britpop",Rock,2006,175426,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,4
